Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Bulbasaur,Grass Poison,Seed Pokémon,0.7,6.9,1. OvergrowChlorophyll (hidden ability),45,50,64,Medium Slow,"87.5% male, 12.5% female",45,49,49,65,65,45
Ivysaur,Grass Poison,Seed Pokémon,1.0,13.0,1. OvergrowChlorophyll (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",60,62,63,80,80,60
Venusaur,Grass Poison,Seed Pokémon,2.4,155.5,Thick Fat,45,50,281,Medium Slow,"87.5% male, 12.5% female",80,100,123,122,120,80
Oddish,Grass Poison,Weed Pokémon,0.5,5.4,1. ChlorophyllRun Away (hidden ability),255,50,64,Medium Slow,"50% male, 50% female",45,50,55,75,65,30
Gloom,Grass Poison,Weed Pokémon,0.8,8.6,1. ChlorophyllStench (hidden ability),120,50,138,Medium Slow,"50% male, 50% female",60,65,70,85,75,40
Vileplume,Grass Poison,Flower Pokémon,1.2,18.6,1. ChlorophyllEffect Spore (hidden ability),45,50,221,Medium Slow,"50% male, 50% female",75,80,85,110,90,50
Bellsprout,Grass Poison,Flower Pokémon,0.7,4.0,1. ChlorophyllGluttony (hidden ability),255,50,60,Medium Slow,"50% male, 50% female",50,75,35,70,30,40
Weepinbell,Grass Poison,Flycatcher Pokémon,1.0,6.4,1. ChlorophyllGluttony (hidden ability),120,50,137,Medium Slow,"50% male, 50% female",65,90,50,85,45,55
Victreebel,Grass Poison,Flycatcher Pokémon,1.7,15.5,1. ChlorophyllGluttony (hidden ability),45,50,221,Medium Slow,"50% male, 50% female",80,105,65,100,70,70
Roselia,Grass Poison,Thorn Pokémon,0.3,2.0,1. Natural Cure2. Poison PointLeaf Guard (hidden ability),150,50,140,Medium Slow,"50% male, 50% female",50,60,45,100,80,65
Budew,Grass Poison,Bud Pokémon,0.2,1.2,1. Natural Cure2. Poison PointLeaf Guard (hidden ability),255,50,56,Medium Slow,"50% male, 50% female",40,30,35,50,70,55
Roserade,Grass Poison,Bouquet Pokémon,0.9,14.5,1. Natural Cure2. Poison PointTechnician (hidden ability),75,50,232,Medium Slow,"50% male, 50% female",60,70,65,125,105,90
Foongus,Grass Poison,Mushroom Pokémon,0.2,1.0,1. Effect SporeRegenerator (hidden ability),190,50,59,Medium Fast,"50% male, 50% female",69,55,45,55,55,15
Amoonguss,Grass Poison,Mushroom Pokémon,0.6,10.5,1. Effect SporeRegenerator (hidden ability),75,50,162,Medium Fast,"50% male, 50% female",114,85,70,85,80,30
