Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Tangela,Grass,Vine Pokémon,1.0,35.0,1. Chlorophyll2. Leaf GuardRegenerator (hidden ability),45,50,87,Medium Fast,"50% male, 50% female",65,55,115,100,40,60
Chikorita,Grass,Leaf Pokémon,0.9,6.4,1. OvergrowLeaf Guard (hidden ability),45,50,64,Medium Slow,"87.5% male, 12.5% female",45,49,65,49,65,45
Bayleef,Grass,Leaf Pokémon,1.2,15.8,1. OvergrowLeaf Guard (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",60,62,80,63,80,60
Meganium,Grass,Herb Pokémon,1.8,100.5,1. OvergrowLeaf Guard (hidden ability),45,50,236,Medium Slow,"87.5% male, 12.5% female",80,82,100,83,100,80
Bellossom,Grass,Flower Pokémon,0.4,5.8,1. ChlorophyllHealer (hidden ability),45,50,221,Medium Slow,"50% male, 50% female",75,80,95,90,100,50
Sunkern,Grass,Seed Pokémon,0.3,1.8,1. Chlorophyll2. Solar PowerEarly Bird (hidden ability),235,50,36,Medium Slow,"50% male, 50% female",30,30,30,30,30,30
Sunflora,Grass,Sun Pokémon,0.8,8.5,1. Chlorophyll2. Solar PowerEarly Bird (hidden ability),120,50,149,Medium Slow,"50% male, 50% female",75,75,55,105,85,30
Treecko,Grass,Wood Gecko Pokémon,0.5,5.0,1. OvergrowUnburden (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",40,45,35,65,55,70
Grovyle,Grass,Wood Gecko Pokémon,0.9,21.6,1. OvergrowUnburden (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",50,65,45,85,65,95
Seedot,Grass,Acorn Pokémon,0.5,4.0,1. Chlorophyll2. Early BirdPickpocket (hidden ability),255,50,44,Medium Slow,"50% male, 50% female",40,40,50,30,30,30
Shroomish,Grass,Mushroom Pokémon,0.4,4.5,1. Effect Spore2. Poison HealQuick Feet (hidden ability),255,50,59,Fluctuating,"50% male, 50% female",60,40,60,40,60,35
Cacnea,Grass,Cactus Pokémon,0.4,51.3,1. Sand VeilWater Absorb (hidden ability),190,35,67,Medium Slow,"50% male, 50% female",50,85,40,85,40,35
Turtwig,Grass,Tiny Leaf Pokémon,0.4,10.2,1. OvergrowShell Armor (hidden ability),45,50,64,Medium Slow,"87.5% male, 12.5% female",55,68,64,45,55,31
Grotle,Grass,Grove Pokémon,1.1,97.0,1. OvergrowShell Armor (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",75,89,85,55,65,36
Cherubi,Grass,Cherry Pokémon,0.4,3.3,1. Chlorophyll,190,50,55,Medium Fast,"50% male, 50% female",45,35,45,62,53,35
Cherrim,Grass,Blossom Pokémon,0.5,9.3,1. Flower Gift,75,50,158,Medium Fast,"50% male, 50% female",70,60,70,87,78,85
Carnivine,Grass,Bug Catcher Pokémon,1.4,27.0,1. Levitate,200,50,159,Slow,"50% male, 50% female",74,100,72,90,72,46
Tangrowth,Grass,Vine Pokémon,2.0,128.6,1. Chlorophyll2. Leaf GuardRegenerator (hidden ability),30,50,187,Medium Fast,"50% male, 50% female",100,100,125,110,50,50
Leafeon,Grass,Verdant Pokémon,1.0,25.5,1. Leaf GuardChlorophyll (hidden ability),45,35,184,Medium Fast,"87.5% male, 12.5% female",65,110,130,60,65,95
Snivy,Grass,Grass Snake Pokémon,0.6,8.1,1. OvergrowContrary (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",45,45,55,45,55,63
