Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Cubone,Ground,Lonely Pokémon,0.4,6.5,1. Rock Head2. Lightning RodBattle Armor (hidden ability),190,50,64,Medium Fast,"50% male, 50% female",50,50,95,40,50,35
Phanpy,Ground,Long Nose Pokémon,0.5,33.5,1. PickupSand Veil (hidden ability),120,50,66,Medium Fast,"50% male, 50% female",90,60,60,40,40,40
Donphan,Ground,Armor Pokémon,1.1,120.0,1. SturdySand Veil (hidden ability),60,50,175,Medium Fast,"50% male, 50% female",90,120,120,60,60,50
Trapinch,Ground,Ant Pit Pokémon,0.7,15.0,1. Hyper Cutter2. Arena TrapSheer Force (hidden ability),255,50,58,Medium Slow,"50% male, 50% female",45,100,45,45,45,10
Hippopotas,Ground,Hippo Pokémon,0.8,49.5,1. Sand StreamSand Force (hidden ability),140,50,66,Slow,"50% male, 50% female",68,72,78,38,42,32
Hippowdon,Ground,Heavyweight Pokémon,2.0,300.0,1. Sand StreamSand Force (hidden ability),60,50,184,Slow,"50% male, 50% female",108,112,118,68,72,47
Drilbur,Ground,Mole Pokémon,0.3,8.5,1. Sand Rush2. Sand ForceMold Breaker (hidden ability),120,50,66,Medium Fast,"50% male, 50% female",60,85,40,30,45,68
Mudbray,Ground,Donkey Pokémon,1.0,110.0,1. Own Tempo2. StaminaInner Focus (hidden ability),190,50,77,Medium Fast,"50% male, 50% female",70,100,70,45,55,45
Mudsdale,Ground,Draft Horse Pokémon,2.5,920.0,1. Own Tempo2. StaminaInner Focus (hidden ability),60,50,175,Medium Fast,"50% male, 50% female",100,125,100,55,85,35
Silicobra,Ground,Sand Snake Pokémon,2.2,7.6,1. Sand Spit2. Shed SkinSand Veil (hidden ability),255,50,63,Medium Fast,"50% male, 50% female",52,57,75,35,50,46
Sandaconda,Ground,Sand Snake Pokémon,3.8,65.5,1. Sand Spit2. Shed SkinSand Veil (hidden ability),120,50,179,Medium Fast,"50% male, 50% female",72,107,125,65,70,71
