Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Pidgey,Normal Flying,Tiny Bird Pokémon,0.3,1.8,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),255,50,50,Medium Slow,"50% male, 50% female",40,45,40,35,35,56
Pidgeotto,Normal Flying,Bird Pokémon,1.1,30.0,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),120,50,122,Medium Slow,"50% male, 50% female",63,60,55,50,50,71
Pidgeot,Normal Flying,Bird Pokémon,2.2,50.5,No Guard,45,50,261,Medium Slow,"50% male, 50% female",83,80,80,135,80,121
Spearow,Normal Flying,Tiny Bird Pokémon,0.3,2.0,1. Keen EyeSniper (hidden ability),255,50,52,Medium Fast,"50% male, 50% female",40,60,30,31,31,70
Fearow,Normal Flying,Beak Pokémon,1.2,38.0,1. Keen EyeSniper (hidden ability),90,50,155,Medium Fast,"50% male, 50% female",65,90,65,61,61,100
Doduo,Normal Flying,Twin Bird Pokémon,1.4,39.2,1. Run Away2. Early BirdTangled Feet (hidden ability),190,50,62,Medium Fast,"50% male, 50% female",35,85,45,35,35,75
Dodrio,Normal Flying,Triple Bird Pokémon,1.8,85.2,1. Run Away2. Early BirdTangled Feet (hidden ability),45,50,165,Medium Fast,"50% male, 50% female",60,110,70,60,60,110
Hoothoot,Normal Flying,Owl Pokémon,0.7,21.2,1. Insomnia2. Keen EyeTinted Lens (hidden ability),255,50,52,Medium Fast,"50% male, 50% female",60,30,30,36,56,50
Noctowl,Normal Flying,Owl Pokémon,1.6,40.8,1. Insomnia2. Keen EyeTinted Lens (hidden ability),90,50,158,Medium Fast,"50% male, 50% female",100,50,50,86,96,70
Taillow,Normal Flying,TinySwallow Pokémon,0.3,2.3,1. GutsScrappy (hidden ability),200,50,54,Medium Slow,"50% male, 50% female",40,55,30,30,30,85
Swellow,Normal Flying,Swallow Pokémon,0.7,19.8,1. GutsScrappy (hidden ability),45,50,159,Medium Slow,"50% male, 50% female",60,85,60,75,50,125
Swablu,Normal Flying,Cotton Bird Pokémon,0.4,1.2,1. Natural CureCloud Nine (hidden ability),255,50,62,Erratic,"50% male, 50% female",45,40,60,40,75,50
Starly,Normal Flying,Starling Pokémon,0.3,2.0,1. Keen EyeReckless (hidden ability),255,50,49,Medium Slow,"50% male, 50% female",40,55,30,30,30,60
Staravia,Normal Flying,Starling Pokémon,0.6,15.5,1. IntimidateReckless (hidden ability),120,50,119,Medium Slow,"50% male, 50% female",55,75,50,40,40,80
Staraptor,Normal Flying,Predator Pokémon,1.2,24.9,1. IntimidateReckless (hidden ability),45,50,243,Medium Slow,"50% male, 50% female",85,120,70,50,60,100
Chatot,Normal Flying,Music Note Pokémon,0.5,1.9,1. Keen Eye2. Tangled FeetBig Pecks (hidden ability),30,35,144,Medium Slow,"50% male, 50% female",76,65,45,92,42,91
Pidove,Normal Flying,Tiny Pigeon Pokémon,0.3,2.1,1. Big Pecks2. Super LuckRivalry (hidden ability),255,50,53,Medium Slow,"50% male, 50% female",50,55,50,36,30,43
Tranquill,Normal Flying,Wild Pigeon Pokémon,0.6,15.0,1. Big Pecks2. Super LuckRivalry (hidden ability),120,50,125,Medium Slow,"50% male, 50% female",62,77,62,50,42,65
Unfezant,Normal Flying,Proud Pokémon,1.2,29.0,1. Big Pecks2. Super LuckRivalry (hidden ability),45,50,220,Medium Slow,"50% male, 50% female",80,115,80,65,55,93
Rufflet,Normal Flying,Eaglet Pokémon,0.5,10.5,1. Keen Eye2. Sheer ForceHustle (hidden ability),190,50,70,Slow,"100% male, 0% female",70,83,50,37,50,60
Fletchling,Normal Flying,Tiny Robin Pokémon,0.3,1.7,1. Big PecksGale Wings (hidden ability),255,50,56,Medium Slow,"50% male, 50% female",45,50,43,40,38,62
Pikipek,Normal Flying,Woodpecker Pokémon,0.3,1.2,1. Keen Eye2. Skill LinkPickup (hidden ability),255,50,53,Medium Fast,"50% male, 50% female",35,75,30,30,30,65
Trumbeak,Normal Flying,Bugle Beak Pokémon,0.6,14.8,1. Keen Eye2. Skill LinkPickup (hidden ability),120,50,124,Medium Fast,"50% male, 50% female",55,85,50,40,50,75
Toucannon,Normal Flying,Cannon Pokémon,1.1,26.0,1. Keen Eye2. Skill LinkSheer Force (hidden ability),45,50,218,Medium Fast,"50% male, 50% female",80,120,75,75,75,60
Squawkabilly,Normal Flying,Parrot Pokémon,0.6,2.4,Intimidate Hustle Sheer Force,190,50,146,Erratic,"50% male, 50% female",82,96,51,45,51,92
