Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Lickitung,Normal,Licking Pokémon,1.2,65.5,1. Own Tempo2. ObliviousCloud Nine (hidden ability),45,50,77,Medium Fast,"50% male, 50% female",90,55,75,60,75,30
Chansey,Normal,Egg Pokémon,1.1,34.6,1. Natural Cure2. Serene GraceHealer (hidden ability),30,140,395,Fast,"0% male, 100% female",250,5,5,35,105,50
Kangaskhan,Normal,Parent Pokémon,2.2,100.0,Parental Bond,45,50,207,Medium Fast,"0% male, 100% female",105,125,100,60,100,100
Ditto,Normal,Transform Pokémon,0.3,4.0,1. LimberImposter (hidden ability),35,50,101,Medium Fast,Genderless,48,48,48,48,48,48
Eevee,Normal,Evolution Pokémon,0.3,6.5,Run Away Adaptability,45,50,65,Medium Fast,"87.5% male, 12.5% female",65,75,70,65,85,75
Porygon,Normal,Virtual Pokémon,0.8,36.5,1. Trace2. DownloadAnalytic (hidden ability),45,50,79,Medium Fast,Genderless,65,60,70,85,75,40
Snorlax,Normal,Sleeping Pokémon,2.1,460.0,1. Immunity2. Thick FatGluttony (hidden ability),25,50,189,Slow,"87.5% male, 12.5% female",160,110,65,65,110,30
Sentret,Normal,Scout Pokémon,0.8,6.0,1. Run Away2. Keen EyeFrisk (hidden ability),255,50,43,Medium Fast,"50% male, 50% female",35,46,34,35,45,20
Furret,Normal,Long Body Pokémon,1.8,32.5,1. Run Away2. Keen EyeFrisk (hidden ability),90,50,145,Medium Fast,"50% male, 50% female",85,76,64,45,55,90
Aipom,Normal,Long Tail Pokémon,0.8,11.5,1. Run Away2. PickupSkill Link (hidden ability),45,50,72,Fast,"50% male, 50% female",55,70,55,40,55,85
Dunsparce,Normal,Land Snake Pokémon,1.5,14.0,1. Serene Grace2. Run AwayRattled (hidden ability),190,50,145,Medium Fast,"50% male, 50% female",100,70,70,65,65,45
Teddiursa,Normal,Little Bear Pokémon,0.6,8.8,1. Pickup2. Quick FeetHoney Gather (hidden ability),120,50,66,Medium Fast,"50% male, 50% female",60,80,50,50,50,40
Ursaring,Normal,Hibernator Pokémon,1.8,125.8,1. Guts2. Quick FeetUnnerve (hidden ability),60,50,175,Medium Fast,"50% male, 50% female",90,130,75,75,75,55
Porygon2,Normal,Virtual Pokémon,0.6,32.5,1. Trace2. DownloadAnalytic (hidden ability),45,50,180,Medium Fast,Genderless,85,80,90,105,95,60
Stantler,Normal,Big Horn Pokémon,1.4,71.2,1. Intimidate2. FriskSap Sipper (hidden ability),45,50,163,Slow,"50% male, 50% female",73,95,62,85,65,85
Smeargle,Normal,Painter Pokémon,1.2,58.0,1. Own Tempo2. TechnicianMoody (hidden ability),45,50,88,Fast,"50% male, 50% female",55,20,35,20,45,75
Miltank,Normal,Milk Cow Pokémon,1.2,75.5,1. Thick Fat2. ScrappySap Sipper (hidden ability),45,50,172,Slow,"0% male, 100% female",95,80,105,40,70,100
Blissey,Normal,Happiness Pokémon,1.5,46.8,1. Natural Cure2. Serene GraceHealer (hidden ability),30,140,635,Fast,"0% male, 100% female",255,10,10,75,135,55
Slakoth,Normal,Slacker Pokémon,0.8,24.0,1. Truant,255,50,56,Slow,"50% male, 50% female",60,60,60,35,35,30
Vigoroth,Normal,Wild Monkey Pokémon,1.4,46.5,1. Vital Spirit,120,50,154,Slow,"50% male, 50% female",80,80,80,55,55,90
Slaking,Normal,Lazy Pokémon,2.0,130.5,1. Truant,45,50,285,Slow,"50% male, 50% female",150,160,100,95,65,100
Whismur,Normal,Whisper Pokémon,0.6,16.3,1. SoundproofRattled (hidden ability),190,50,48,Medium Slow,"50% male, 50% female",64,51,23,51,23,28
Loudred,Normal,Big Voice Pokémon,1.0,40.5,1. SoundproofScrappy (hidden ability),120,50,126,Medium Slow,"50% male, 50% female",84,71,43,71,43,48
Exploud,Normal,Loud Noise Pokémon,1.5,84.0,1. SoundproofScrappy (hidden ability),45,50,221,Medium Slow,"50% male, 50% female",104,91,63,91,73,68
Skitty,Normal,Kitten Pokémon,0.6,11.0,1. Cute Charm2. NormalizeWonder Skin (hidden ability),255,50,52,Fast,"25% male, 75% female",50,45,45,35,35,50
Delcatty,Normal,Prim Pokémon,1.1,32.6,1. Cute Charm2. NormalizeWonder Skin (hidden ability),60,50,140,Fast,"25% male, 75% female",70,65,65,55,55,90
Spinda,Normal,Spot Panda Pokémon,1.1,5.0,1. Own Tempo2. Tangled FeetContrary (hidden ability),255,50,126,Fast,"50% male, 50% female",60,60,60,60,60,60
Zangoose,Normal,Cat Ferret Pokémon,1.3,40.3,1. ImmunityToxic Boost (hidden ability),90,50,160,Erratic,"50% male, 50% female",73,115,60,60,60,90
Kecleon,Normal,Color Swap Pokémon,1.0,22.0,1. Color ChangeProtean (hidden ability),200,50,154,Medium Slow,"50% male, 50% female",60,90,70,60,120,40
Bidoof,Normal,Plump Mouse Pokémon,0.5,20.0,1. Simple2. UnawareMoody (hidden ability),255,50,50,Medium Fast,"50% male, 50% female",59,45,40,35,40,31
Ambipom,Normal,Long Tail Pokémon,1.2,20.3,1. Technician2. PickupSkill Link (hidden ability),45,100,169,Fast,"50% male, 50% female",75,100,66,60,66,115
