Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Squirtle,Water,Tiny Turtle Pokémon,0.5,9.0,1. TorrentRain Dish (hidden ability),45,50,63,Medium Slow,"87.5% male, 12.5% female",44,48,65,50,64,43
Wartortle,Water,Turtle Pokémon,1.0,22.5,1. TorrentRain Dish (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",59,63,80,65,80,58
Blastoise,Water,Shellfish Pokémon,1.6,101.1,Mega Launcher,45,50,284,Medium Slow,"87.5% male, 12.5% female",79,103,120,135,115,78
Psyduck,Water,Duck Pokémon,0.8,19.6,1. Damp2. Cloud NineSwift Swim (hidden ability),190,50,64,Medium Fast,"50% male, 50% female",50,52,48,65,50,55
Golduck,Water,Duck Pokémon,1.7,76.6,1. Damp2. Cloud NineSwift Swim (hidden ability),75,50,175,Medium Fast,"50% male, 50% female",80,82,78,95,80,85
Poliwag,Water,Tadpole Pokémon,0.6,12.4,1. Water Absorb2. DampSwift Swim (hidden ability),255,50,60,Medium Slow,"50% male, 50% female",40,50,40,40,40,90
Poliwhirl,Water,Tadpole Pokémon,1.0,20.0,1. Water Absorb2. DampSwift Swim (hidden ability),120,50,135,Medium Slow,"50% male, 50% female",65,65,65,50,50,90
Seel,Water,Sea Lion Pokémon,1.1,90.0,1. Thick Fat2. HydrationIce Body (hidden ability),190,50,65,Medium Fast,"50% male, 50% female",65,45,55,45,70,45
Shellder,Water,Bivalve Pokémon,0.3,4.0,1. Shell Armor2. Skill LinkOvercoat (hidden ability),190,50,61,Slow,"50% male, 50% female",30,65,100,45,25,40
Krabby,Water,River Crab Pokémon,0.4,6.5,1. Hyper Cutter2. Shell ArmorSheer Force (hidden ability),225,50,65,Medium Fast,"50% male, 50% female",30,105,90,25,25,50
Kingler,Water,Pincer Pokémon,1.3,60.0,1. Hyper Cutter2. Shell ArmorSheer Force (hidden ability),60,50,166,Medium Fast,"50% male, 50% female",55,130,115,50,50,75
Horsea,Water,Dragon Pokémon,0.4,8.0,1. Swift Swim2. SniperDamp (hidden ability),225,50,59,Medium Fast,"50% male, 50% female",30,40,70,70,25,60
Seadra,Water,Dragon Pokémon,1.2,25.0,1. Poison Point2. SniperDamp (hidden ability),75,50,154,Medium Fast,"50% male, 50% female",55,65,95,95,45,85
Goldeen,Water,Goldfish Pokémon,0.6,15.0,1. Swift Swim2. Water VeilLightning Rod (hidden ability),225,50,64,Medium Fast,"50% male, 50% female",45,67,60,35,50,63
Seaking,Water,Goldfish Pokémon,1.3,39.0,1. Swift Swim2. Water VeilLightning Rod (hidden ability),60,50,158,Medium Fast,"50% male, 50% female",80,92,65,65,80,68
Staryu,Water,Star Shape Pokémon,0.8,34.5,1. Illuminate2. Natural CureAnalytic (hidden ability),225,50,68,Slow,Genderless,30,45,55,70,55,85
Magikarp,Water,Fish Pokémon,0.9,10.0,1. Swift SwimRattled (hidden ability),255,50,40,Slow,"50% male, 50% female",20,10,55,15,20,80
Vaporeon,Water,Bubble Jet Pokémon,1.0,29.0,1. Water AbsorbHydration (hidden ability),45,50,184,Medium Fast,"87.5% male, 12.5% female",130,65,60,110,95,65
Totodile,Water,Big Jaw Pokémon,0.6,9.5,1. TorrentSheer Force (hidden ability),45,50,63,Medium Slow,"87.5% male, 12.5% female",50,65,64,44,48,43
Croconaw,Water,Big Jaw Pokémon,1.1,25.0,1. TorrentSheer Force (hidden ability),45,50,142,Medium Slow,"87.5% male, 12.5% female",65,80,80,59,63,58
Feraligatr,Water,Big Jaw Pokémon,2.3,88.8,1. TorrentSheer Force (hidden ability),45,50,239,Medium Slow,"87.5% male, 12.5% female",85,105,100,79,83,78
Politoed,Water,Frog Pokémon,1.1,33.9,1. Water Absorb2. DampDrizzle (hidden ability),45,50,225,Medium Slow,"50% male, 50% female",90,75,75,90,100,70
Remoraid,Water,Jet Pokémon,0.6,12.0,1. Hustle2. SniperMoody (hidden ability),190,50,60,Medium Fast,"50% male, 50% female",35,65,35,65,35,65
Octillery,Water,Jet Pokémon,0.9,28.5,1. Suction Cups2. SniperMoody (hidden ability),75,50,168,Medium Fast,"50% male, 50% female",75,105,75,105,75,45
Suicune,Water,Aurora Pokémon,2.0,187.0,1. PressureInner Focus (hidden ability),3,35,261,Slow,Genderless,100,75,115,90,115,85
Mudkip,Water,Mud Fish Pokémon,0.4,7.6,1. TorrentDamp (hidden ability),45,50,62,Medium Slow,"87.5% male, 12.5% female",50,70,50,50,50,40
Wailmer,Water,Ball Whale Pokémon,2.0,130.0,1. Water Veil2. ObliviousPressure (hidden ability),125,50,80,Fluctuating,"50% male, 50% female",130,70,35,70,35,60
Wailord,Water,Float Whale Pokémon,14.5,398.0,1. Water Veil2. ObliviousPressure (hidden ability),60,50,175,Fluctuating,"50% male, 50% female",170,90,45,90,45,60
Corphish,Water,Ruffian Pokémon,0.6,11.5,1. Hyper Cutter2. Shell ArmorAdaptability (hidden ability),205,50,62,Fluctuating,"50% male, 50% female",43,80,65,50,35,35
Feebas,Water,Fish Pokémon,0.6,7.4,1. Swift Swim2. ObliviousAdaptability (hidden ability),255,50,40,Erratic,"50% male, 50% female",20,15,20,10,55,80
